Sample_ID,SMILES_E1,SMILES_X1,SMILES_Y1,Ratio_X1,Ratio_Y1,Condition_Type,Condition_Val,Temp_K,Alpha,Rate_1_min
R000X100Y,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,OC(=O)CCCC(=O)O,OC(=O)c1cccc(C(=O)O)c1,0.0,1.0,Dyn,5.0,323.0,0.001,0.00017589005416356965
R000X100Y,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,OC(=O)CCCC(=O)O,OC(=O)c1cccc(C(=O)O)c1,0.0,1.0,Dyn,5.0,326.3898305084746,0.0011383025054546982,0.0002347658378805615
R000X100Y,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,OC(=O)CCCC(=O)O,OC(=O)c1cccc(C(=O)O)c1,0.0,1.0,Dyn,5.0,329.77966101694915,0.0013242053258244939,0.0003227182988673
R000X100Y,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,OC(=O)CCCC(=O)O,OC(=O)c1cccc(C(=O)O)c1,0.0,1.0,Dyn,5.0,333.1694915254237,0.0015737879535240708,0.00042619142383811193
R000X100Y,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,OC(=O)CCCC(=O)O,OC(=O)c1cccc(C(=O)O)c1,0.0,1.0,Dyn,5.0,336.5593220338983,0.0019084490541561696,0.0005601668084768124
R000X100Y,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,OC(=O)CCCC(=O)O,OC(=O)c1cccc(C(=O)O)c1,0.0,1.0,Dyn,5.0,339.9491525423729,0.002356542360906705,0.0007699460668871967
R000X100Y,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,OC(=O)CCCC(=O)O,OC(=O)c1cccc(C(=O)O)c1,0.0,1.0,Dyn,5.0,343.33898305084745,0.0029554380286267988,0.0010568023177396197
R000X100Y,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,OC(=O)CCCC(=O)O,OC(=O)c1cccc(C(=O)O)c1,0.0,1.0,Dyn,5.0,346.728813559322,0.0037540943533366667,0.0013930769079214629
R000X100Y,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,OC(=O)CCCC(=O)O,OC(=O)c1cccc(C(=O)O)c1,0.0,1.0,Dyn,5.0,350.1186440677966,0.004816234450043285,0.0017608802938187936
R000X100Y,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,OC(=O)CCCC(=O)O,OC(=O)c1cccc(C(=O)O)c1,0.0,1.0,Dyn,5.0,353.50847457627117,0.00622422771257754,0.0022901970152840873
R000X100Y,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,OC(=O)CCCC(=O)O,OC(=O)c1cccc(C(=O)O)c1,0.0,1.0,Dyn,5.0,356.89830508474574,0.00808377174368514,0.003079335944634041
R000X100Y,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,OC(=O)CCCC(=O)O,OC(=O)c1cccc(C(=O)O)c1,0.0,1.0,Dyn,5.0,360.2881355932203,0.010529449936700151,0.004123439671076886
R000X100Y,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,OC(=O)CCCC(=O)O,OC(=O)c1cccc(C(=O)O)c1,0.0,1.0,Dyn,5.0,363.6779661016949,0.013731193246403026,0.005003691362215637
R000X100Y,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,OC(=O)CCCC(=O)O,OC(=O)c1cccc(C(=O)O)c1,0.0,1.0,Dyn,5.0,367.06779661016947,0.0179015870489985,0.006942416368832404
R000X100Y,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,OC(=O)CCCC(=O)O,OC(=O)c1cccc(C(=O)O)c1,0.0,1.0,Dyn,5.0,370.45762711864404,0.02330381597121941,0.008689825555402052
R000X100Y,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,OC(=O)CCCC(=O)O,OC(=O)c1cccc(C(=O)O)c1,0.0,1.0,Dyn,5.0,373.8474576271186,0.030259805463460642,0.011333648812090225
R000X100Y,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,OC(=O)CCCC(=O)O,OC(=O)c1cccc(C(=O)O)c1,0.0,1.0,Dyn,5.0,377.2372881355932,0.039157768611656485,0.014532617739367263
